image_path,label,caption
images/dog/dog_001.jpg,dog,A black dog and a spotted dog are fighting
images/dog/dog_002.jpg,dog,A man lays on a bench while his dog sits by him .
images/dog/dog_003.jpg,dog,A black and white dog is running in a grassy garden surrounded by a white fence .
images/dog/dog_004.jpg,dog,"A dog shakes its head near the shore , a red ball next to it ."
images/dog/dog_005.jpg,dog,A black dog leaps over a log .
images/dog/dog_006.jpg,dog,A brown and white dog is running through the snow .
images/dog/dog_007.jpg,dog,A brown dog chases the water from a sprinkler on a lawn .
images/dog/dog_008.jpg,dog,A dog prepares to catch a thrown object in a field with nearby cars .
images/dog/dog_009.jpg,dog,a black and white dog jumping in the air to get a toy .
images/dog/dog_010.jpg,dog,A black dog running in the surf .
images/dog/dog_011.jpg,dog,Two different breeds of brown and white dogs play on the beach .
images/dog/dog_012.jpg,dog,A black dog carries a green toy in his mouth as he walks through the grass .
images/dog/dog_013.jpg,dog,A black dog and a brown dog are jumping up to catch a red toy .
images/dog/dog_014.jpg,dog,A woman crouches near three dogs in a field .
images/dog/dog_015.jpg,dog,A brown dog is running after a black dog on a rocky shore .
images/dog/dog_016.jpg,dog,A light-colored dog runs on the beach .
images/dog/dog_017.jpg,dog,A black and white dog is attempting to catch a yellow and purple object in a low cut yard .
images/dog/dog_018.jpg,dog,A white and black dog and a brown dog in sandy terrain .
images/dog/dog_019.jpg,dog,A black and white dog catches a toy in midair .
images/dog/dog_020.jpg,dog,A man in a brown shirt and dark shorts plays on the beach with his two black dogs .
images/dog/dog_021.jpg,dog,"A bulldog , a sheep dog , and a boxer standing in a yard ."
images/dog/dog_022.jpg,dog,A closeup of a white dog that is laying its head on its paws .
images/dog/dog_023.jpg,dog,a brown dog running down a paved pathway
images/dog/dog_024.jpg,dog,A brown dog plays in a deep pile of snow .
images/dog/dog_025.jpg,dog,A Corgi runs out of a tunnel .
images/dog/dog_026.jpg,dog,A blond dog and a black and white dog run in a dirt field .
images/dog/dog_027.jpg,dog,A black and white dog drinking water from a water spray .
images/dog/dog_028.jpg,dog,a black dog jumping to catch a rope toy
images/dog/dog_029.jpg,dog,A black and white Border Collie catches a Frisbee in front of an audience .
images/dog/dog_030.jpg,dog,A black dog is jumping over a log along a beach .
images/dog/dog_031.jpg,dog,A brown dog is running in the sand .
images/dog/dog_032.jpg,dog,A little tan dog with large ears running through the grass .
images/dog/dog_033.jpg,dog,A black and white dog is running through the field .
images/dog/dog_034.jpg,dog,A brown and white and a black and white dog hauling in a floating toy from the ocean .
images/dog/dog_035.jpg,dog,A brown dog is running through neck-deep water carrying a tennis ball .
images/dog/dog_036.jpg,dog,Two brown dogs are creating large splashes as they run in a river .
images/dog/dog_037.jpg,dog,A black dog runs into the ocean next to a pile of seaweed .
images/dog/dog_038.jpg,dog,A brown and white dog stands outside while it snows .
images/dog/dog_039.jpg,dog,A grey dog beside a black and white dog running in green grass .
images/dog/dog_040.jpg,dog,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .
images/dog/dog_041.jpg,dog,A big brown dog plays with a smaller grey dog on the grass .
images/dog/dog_042.jpg,dog,A big dog catches a ball on his nose
images/dog/dog_043.jpg,dog,a brown dog jumping into a pool after a bloe ball .
images/dog/dog_044.jpg,dog,A brown dog running through the grass and flowers .
images/dog/dog_045.jpg,dog,A small brown and black dog
images/dog/dog_046.jpg,dog,A big tan dog runs on grass with a big stick in his mouth .
images/dog/dog_047.jpg,dog,A dog jumping into a swimming pool .
images/dog/dog_048.jpg,dog,Dogs fight in grass over toy .
images/dog/dog_049.jpg,dog,A black dog and a brown dog playing in tall weeds .
images/dog/dog_050.jpg,dog,A brown dog jumping in the air on a brown plain .
images/dog/dog_051.jpg,dog,A brown dog biting a gray dogs ear .
images/dog/dog_052.jpg,dog,A dog in a number six jersey is running through a field .
images/dog/dog_053.jpg,dog,A black and brown dog is laying on a white shaggy carpet .
images/dog/dog_054.jpg,dog,A cat under the bench hissing with a dog growling and trying to get it .
images/dog/dog_055.jpg,dog,A girl in a white shirt is sitting on a park bench with a dog next to her .
images/dog/dog_056.jpg,dog,A black and white dog carrying a large stick
images/dog/dog_057.jpg,dog,A black dog runs after another black dog who is carrying a ball .
images/dog/dog_058.jpg,dog,A black and tan dog in the snow
images/dog/dog_059.jpg,dog,A group of dogs pull a person on a dog sled up a hill .
images/dog/dog_060.jpg,dog,A snow dog in a red harness .
images/dog/dog_061.jpg,dog,A black and a white dog on the snow .
images/dog/dog_062.jpg,dog,A big brown dog is jumping in the water and has his mouth wide open .
images/dog/dog_063.jpg,dog,a brown dog is leaping into a garden swimming pool .
images/dog/dog_064.jpg,dog,A dog jumps for a red ball on the grass .
images/dog/dog_065.jpg,dog,A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk .
images/dog/dog_066.jpg,dog,The two dogs are running through a field of flowers .
images/dog/dog_067.jpg,dog,A black dog carries an orange tennis ball in his mouth as he swims .
images/dog/dog_068.jpg,dog,A black and grey dog runs in a field with its tongue hanging out .
images/dog/dog_069.jpg,dog,dogs running on a cold but sunny morning
images/dog/dog_070.jpg,dog,A brown dog is sitting in some long grass .
images/dog/dog_071.jpg,dog,A brown dog stands in a lush field with the stunning clouds and mountains behind it .
images/dog/dog_072.jpg,dog,A black and white dog is running in the grass .
images/dog/dog_073.jpg,dog,A puppy plays with an adult dog in the snow .
images/dog/dog_074.jpg,dog,A brown dog is bending down trying to drink from a jet of water .
images/dog/dog_075.jpg,dog,A dog in midair cathing the red ball .
images/dog/dog_076.jpg,dog,A black and white dog jumping into a pool after tennis balls .
images/dog/dog_077.jpg,dog,A brown dog on a leash runs through the white water .
images/dog/dog_078.jpg,dog,A man and a dog stand on a hill overlooking water .
images/dog/dog_079.jpg,dog,A black and white dog jumping into a pool .
images/dog/dog_080.jpg,dog,A black and a white dog are running on the grass .
images/dog/dog_081.jpg,dog,A fluffy white dog is coming out of a blue striped obstacle shute .
images/dog/dog_082.jpg,dog,A girl carries a lot through the grass .
images/dog/dog_083.jpg,dog,"A big , black dog runs through the water , near the shore ."
images/dog/dog_084.jpg,dog,A dog runs through the forest with something in its mouth .
images/dog/dog_085.jpg,dog,a dog in a red jacket is running on the grass .
images/dog/dog_086.jpg,dog,A black dog is running in the grass .
images/dog/dog_087.jpg,dog,A black dog retrieves a cloth from a streambed .
images/dog/dog_088.jpg,dog,Three dogs looking at a cement ledge .
images/dog/dog_089.jpg,dog,People stand in corridor looking from balcony as another person walks dog
images/dog/dog_090.jpg,dog,A dog jumping in the air to retrieve a stick from a man .
images/dog/dog_091.jpg,dog,"A man , a gun , and a dog ."
images/dog/dog_092.jpg,dog,A brown dog laying on a blue cover .
images/dog/dog_093.jpg,dog,A brown dog and two black dogs in an overgrown grassy field .
images/dog/dog_094.jpg,dog,A black dog carrying an object out of the water .
images/dog/dog_095.jpg,dog,A dog waits as his owner rummages through a collection of stuff .
images/dog/dog_096.jpg,dog,A brown dog carrying a black object .
images/dog/dog_097.jpg,dog,A brown dog chases a blond one in the grass .
images/dog/dog_098.jpg,dog,a dog trots through the grass .
images/dog/dog_099.jpg,dog,A black dog in front of a white dog walking on a path in a forest .
images/dog/dog_100.jpg,dog,A dog is running along a beach on a sunny day .
images/dog/dog_101.jpg,dog,"One dog shaking the water off , getting a second dog wet"
images/dog/dog_102.jpg,dog,A black and white dog jumps over a pole while splashing water around .
images/dog/dog_103.jpg,dog,Two big German Shephard dogs play in the water .
