image_path,label,caption,other_labels_in_caption
base_water_009.jpg,water,a boy cleans the bubbles off his face .,[]
base_water_091.jpg,water,A male and a female are leaning against railing looking off with the ocean in the background,[]
base_water_129.jpg,water,a man jumping in a mud puddle in the middle of the street,[]
base_water_137.jpg,water,A boy gets flipped into the river by another boy .,[]
base_water_066.jpg,water,A kayaker goes through the waves holding his paddle .,[]
base_water_027.jpg,water,A girl in a coral shirt with glasses is smiling while leaning against a fence .,[]
base_water_133.jpg,water,A group of friends ride the current in a raft .,[]
base_water_067.jpg,water,A kayaker is battling waves in a purple boat while wearing rain gear .,[]
base_water_140.jpg,water,A man casting a fishing pole .,[]
base_water_054.jpg,water,A father and a child are playing in the pool,[]
base_water_120.jpg,water,A boy in a large pool .,[]
base_water_056.jpg,water,A girl in an innertube enjoying the lake .,[]
base_water_079.jpg,water,A man maneuvers a motorcycle through a rocky stream .,[]
base_water_041.jpg,water,A boy is jumping from a body board into the ocean .,[]
base_water_070.jpg,water,A kayaker wearing a blue wetsuit and black helmet paddles his yellow kayak in murky rolling rapids .,[]
base_water_094.jpg,water,A man wakeboards in a red vest and smiles for the camera .,[]
base_water_013.jpg,water,A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,[]
base_water_005.jpg,water,A boy in a green shirt is looking down at many inflatable boats .,[]
base_water_061.jpg,water,A child in a black shirt standing on a wooden dock near a picnic table .,[]
base_water_143.jpg,water,A black and brown dog is playing on the ice at the edge of a lake .,['dog']
base_water_131.jpg,water,A brown dog wades into a lake to retrieve a stick .,['dog']
base_water_010.jpg,water,A boy in blue shorts slides down a slide into a pool .,[]
base_water_075.jpg,water,A couple enjoys a quiet moment near the river .,[]
base_water_019.jpg,water,A little boy stands in the surf .,[]
base_water_020.jpg,water,A small girl spins in the waves in the bright sun .,[]
base_water_083.jpg,water,children playing at the beach,[]
base_water_077.jpg,water,A child swims with a woman .,[]
base_water_044.jpg,water,a boy enjoys a rain shower .,[]
base_water_052.jpg,water,Two girls looking out over a lake towards a man fishing .,[]
base_water_024.jpg,water,A boy in a wetsuit jumps into a pool with a bald man .,[]
base_water_092.jpg,water,The two dogs are enjoying a run through the surf .,[]
base_water_048.jpg,water,A young boy casting his fishing line off a pier,[]
base_water_097.jpg,water,A boy is wakeboarding on a lake with one hand .,[]
base_water_071.jpg,water,"A boy stands on a rock in a creek , holding a stick .",[]
base_water_085.jpg,water,A brown dog playing in mud .,['dog']
base_water_045.jpg,water,A girl standing in the ocean,[]
base_water_035.jpg,water,A blonde boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake .,[]
base_water_132.jpg,water,"A boy holding a hose next to a man while another boy watches on , held by a woman .",[]
base_water_065.jpg,water,A group of bicyclists getting ready for a ride .,[]
base_water_030.jpg,water,About 12 kids and a few adults get splashed by an off camera source .,[]
base_water_124.jpg,water,A group of people jump into a lake in unison .,[]
base_water_121.jpg,water,A girl kisses her mother goodbye before she waits with the other children to start school .,[]
base_water_136.jpg,water,A black dog carrying a colorful ball swims .,"['dog', 'ball']"
base_water_049.jpg,water,A firefighter extinguishes a fire under the hood of a car .,[]
base_water_017.jpg,water,A child painting a picture .,[]
base_water_081.jpg,water,A girl is sitting on the beach and staring at the ocean .,[]
base_water_109.jpg,water,A girl in a bikini top and shorts poses for a picture on a mountain overlooking a lake .,[]
base_water_107.jpg,water,A blonde man is wakeboarding and is jumping into the air .,[]
base_water_096.jpg,water,A man in swim trunks and a red life vest jet skiing .,[]
base_water_078.jpg,water,a man in red shorts is walking along rocks by a river carrying a stick .,[]
base_water_100.jpg,water,A jogger is being sheltered with an umbrella .,[]
base_water_011.jpg,water,A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .,[]
base_water_033.jpg,water,Children sit and watch the fish moving in the pond,[]
base_water_028.jpg,water,A boy playing in a lake,[]
base_water_122.jpg,water,A big brown dog floats in a canoe on the river at sunset .,['dog']
base_water_031.jpg,water,A boat on a lake .,[]
base_water_108.jpg,water,black dogs jump in pool to a hand .,[]
base_water_043.jpg,water,A girl floating wearing a life vest .,[]
base_water_039.jpg,water,Two children on surfboards wave to each other .,[]
base_water_029.jpg,water,A little girl with arms outstretched plays with others at a sprinkler park .,[]
base_water_032.jpg,water,A man is pulled behind a boat on a knee board while another doing the same begins to fall .,[]
base_water_073.jpg,water,A man in a scuba suit holds a box .,[]
base_water_123.jpg,water,A man showering in a home outdoor shower facility .,[]
base_water_138.jpg,water,A person in a hang-glider .,[]
base_water_064.jpg,water,A man in a blue canoe battling through rough waves,[]
base_water_150.jpg,water,A long haired man walking away beside a canal whist holding onto a railing .,[]
base_water_111.jpg,water,A guy in swimming trunks flying on a rope swing above a lake .,[]
base_water_006.jpg,water,"A girl paddling down a large river , as seen from behind her .",[]
base_water_082.jpg,water,A man in a blue shirt is spraying a sand sculpture .,[]
base_water_018.jpg,water,A child playing with a fountain at the beach .,[]
