image_path,label,caption
ball_039.jpg,Label.BALL,A boy dribbles a basketball in the gymnasium .
ball_026.jpg,Label.BALL,A boy hitting a soccer ball with his chest .
ball_092.jpg,Label.BALL,A basketball player in a duke uniform looks up .
ball_134.jpg,Label.BALL,Oklahoma University 's Sooners football team playing against a rival .
ball_130.jpg,Label.BALL,A coach speaking to a football player while everyone watches .
ball_062.jpg,Label.BALL,A boy runs in a race while onlookers watch .
ball_024.jpg,Label.BALL,a big black dog jumps in the air to catch the tennis ball in his mouth .
ball_113.jpg,Label.BALL,A group of young boys playing soccer .
ball_008.jpg,Label.BALL,a boy in white plays baseball .
ball_074.jpg,Label.BALL,A white dog catching a soccer ball midair .
ball_002.jpg,Label.BALL,A boy carrying a soccer ball .
ball_138.jpg,Label.BALL,football players on the field as a Sooner tries to tackle a player
ball_148.jpg,Label.BALL,A football player passes the football to a teammate as the crowd looks on .
ball_104.jpg,Label.BALL,A black and brown dog with blue collar goes on alert by a soccer ball in the grass .
ball_100.jpg,Label.BALL,A brown dog is playing with a red toy while another brown dog bounds towards the camera .
ball_033.jpg,Label.BALL,Four boys doing a cannonball jump in unison into the pool .
ball_124.jpg,Label.BALL,"a crowd wearing red , cheers on the red football team ."
ball_003.jpg,Label.BALL,A boy hits a ball off of a tee ball into to net .
ball_093.jpg,Label.BALL,A dog in mid-flight catches an orange and blue ball in a field of dead grass .
ball_121.jpg,Label.BALL,A discouraged looking football coach .
ball_076.jpg,Label.BALL,Children play basketball on a court .
ball_066.jpg,Label.BALL,A brown and white dog plays with a soccer ball on snowy ground .
ball_103.jpg,Label.BALL,A person has just thrown a snowball and hit someone in the back .
ball_053.jpg,Label.BALL,"A black dog carries an orange ball , walking on the ground covered in leaves ."
ball_032.jpg,Label.BALL,"A spotted dog , a black dog , and a puppy converging on a tennis ball ."
ball_094.jpg,Label.BALL,a determined girl is hitting a volleyball
ball_136.jpg,Label.BALL,A football player from the Sooners is about to be taken down by the opposing team in a game .
ball_079.jpg,Label.BALL,An Asian girl and boy playing on with a yellow ball on a black and white floor .
ball_047.jpg,Label.BALL,A baseball is recoiling from an action taken on a treated field watched by others .
ball_043.jpg,Label.BALL,a child in a red coat is holding an armful of snow in front of a house .
ball_067.jpg,Label.BALL,A brown dog on the beach with a yellow ball in his mouth .
ball_102.jpg,Label.BALL,The two girls are playing on a yellow sit and bounce .
ball_041.jpg,Label.BALL,"Two dachshunds , one black the other brown , run on grass ."
ball_141.jpg,Label.BALL,A man in a baseball hat and sunglasses watching an event in a crowd .
ball_150.jpg,Label.BALL,A football player in blue and one in red play in a game .
ball_063.jpg,Label.BALL,A boy takes a football from another boy .
ball_051.jpg,Label.BALL,A child in the snow with a house in the background .
ball_044.jpg,Label.BALL,A brown and white dog is catching a tennis ball while standing on its hind legs .
ball_125.jpg,Label.BALL,There is a college player being tackled in a game .
ball_048.jpg,Label.BALL,Two children standing under an awning .
ball_127.jpg,Label.BALL,A man tackles another man while playing football .
ball_135.jpg,Label.BALL,A college football game is in progress .
ball_028.jpg,Label.BALL,A large dog sniffing a human hand while a small dog is sniffing the large dog 's butt .
ball_098.jpg,Label.BALL,A dog runs through green grass with a tennis ball in its mouth .
ball_034.jpg,Label.BALL,A baby boy plays outside with a blue toy .
ball_060.jpg,Label.BALL,a dog chases a red ball .
ball_054.jpg,Label.BALL,A dog jumping in midair above grass .
ball_123.jpg,Label.BALL,A coach at a game .
ball_091.jpg,Label.BALL,The dog with the green collar and ball is running behind the dog with the red collar
ball_075.jpg,Label.BALL,Adults in winter jackets and hats swing brooms at a little yellow ball while a black dog looks on .
ball_001.jpg,Label.BALL,A crowd watching air balloons at night .
ball_140.jpg,Label.BALL,A football player is kicking the ball while the opposing fans watch .
ball_099.jpg,Label.BALL,A brown dog plays with a bright orange ball in the snow .
ball_004.jpg,Label.BALL,A boys baseball team wear their uniforms .
ball_086.jpg,Label.BALL,A person hits a ball with a tennis racket .
ball_042.jpg,Label.BALL,A brown dog playing with a tennis ball
ball_128.jpg,Label.BALL,A group of football players are playing football .
ball_035.jpg,Label.BALL,The dogs fight over the red and pink ball .
ball_027.jpg,Label.BALL,A brown and white dog trotting down the road in autumn .
ball_143.jpg,Label.BALL,An American footballer in red is being tackled by three players in white whilst other red players look on .
ball_078.jpg,Label.BALL,A boy playing basketball in a gym
ball_097.jpg,Label.BALL,A child wearing a yellow jacket is jumping down from a rock .
ball_118.jpg,Label.BALL,A boy plays basketball .
ball_064.jpg,Label.BALL,A group of people are jumping into the air with their arms held high .
ball_115.jpg,Label.BALL,A light brown colored dog is playing ball with a redish brown colored dog in a fenced in area .
ball_018.jpg,Label.BALL,A baby lies almost completely covered by bright colored plastic balls .
ball_131.jpg,Label.BALL,A boy cheerleader has a girl cheerleader on his knee .
ball_036.jpg,Label.BALL,Two boys in a field kicking a soccer ball .
ball_016.jpg,Label.BALL,A man in red shorts jumping in back of a volleyball net .
ball_022.jpg,Label.BALL,A group of kids in red and white playing soccer .
ball_095.jpg,Label.BALL,One boy in a black shirt is grabbing the flag of the boy in the red shirt with the football .
ball_037.jpg,Label.BALL,A football player pauses during a game .
ball_021.jpg,Label.BALL,A boy and girl playing cricket
ball_119.jpg,Label.BALL,A football game .
ball_145.jpg,Label.BALL,A group of men play a college football game .
ball_088.jpg,Label.BALL,"A boy holds a basketball during a game , while others watch ."
ball_007.jpg,Label.BALL,A boy in blue with a football sprawls in the grass .
ball_105.jpg,Label.BALL,"A man in swim trunks hits a ball with a paddle , while on the beach ."
ball_010.jpg,Label.BALL,A man in a field backed by american flags .
ball_025.jpg,Label.BALL,A black dog catches a tennis ball in his mouth while a white dog watches .
ball_009.jpg,Label.BALL,A girl in a green dress plays with a Hello Kitty balloon .
ball_046.jpg,Label.BALL,A girl in a ballet fairy costume is touched by a wand .
ball_017.jpg,Label.BALL,"A man dressed in a white shirt , blue baseball cap while wearing gloves , holding a red and white checkered food wrapping ."
ball_072.jpg,Label.BALL,A big black dog carries a blue ball while two Corgis run at his side .
ball_057.jpg,Label.BALL,A boy does a cannonball into a pool while a girl watches .
ball_013.jpg,Label.BALL,A boy in red and blue shorts is trying to catch a soccer ball while running in sand .
ball_038.jpg,Label.BALL,a boy holds a basketball angerly .
ball_006.jpg,Label.BALL,A little girl in a colorful dress is playing with a blue and red soccer ball .
ball_096.jpg,Label.BALL,A young boy on a basketball team dribbles the ball .
ball_108.jpg,Label.BALL,A dog is jumping playing with a ball that has broken .
ball_059.jpg,Label.BALL,A boy standing and watching a group of people on a basketball court .
ball_019.jpg,Label.BALL,A Baseball batter raising his arm .
ball_139.jpg,Label.BALL,A crowd is standing and cheering at a football game .
ball_126.jpg,Label.BALL,A cheerleader dressed in red smiles and cheers .
ball_085.jpg,Label.BALL,A man in a black t-shirt looking down as he holds a drink .
ball_069.jpg,Label.BALL,Two bald men on a park bench wearing small yellow traffic cones .
ball_122.jpg,Label.BALL,A man runs on the football field carrying the ball in front of the ref .
