image_path,label,caption
new_ball_683.jpg,Label.BALL,"Two black dogs, their fur fluffed up in agitation, are engaged in a fierce tug-of-war over a small white soccer ball on a lush green lawn. The ball's stitches are starting to show signs of wear from the intense game. Nearby, a few scattered leaves and twigs indicate that the dogs' playtime has been ongoing for some time."
new_ball_196.jpg,Label.BALL,"In the sun-drenched backyard, a joyful black and white dog springs into the air, its paws splayed wide as it attempts to catch the golden soccer ball perched precariously on its upturned nose. The afternoon sunlight casts a warm glow over the scene, illuminating the dog's energetic movements as it plays with its favorite ball. As the dog leaps, the ball teeters for a moment before rolling harmlessly away, inviting another joyful pursuit."
new_ball_092.jpg,Label.BALL,"A young boy, his eyes fixed on the ball in his paws, charges out of the calm morning surf as he playfully runs alongside his energetic black and brown dog. The warm sunlight catches the waves as they lap gently at the shore, and the sound of seagulls fills the air. In a split second, the dog will be off to retrieve the ball, sending them both tumbling onto the sandy beach in a joyful heap."
new_ball_708.jpg,Label.BALL,"A sunny day at the local park, where families often gather to play sports. A man in his mid-30s, wearing bright red shorts, is practicing his dribbling skills with a basketball as he walks across the lush green grass. The sound of children's laughter and the murmur of conversation from passersby fill the air as they watch him expertly weave around an imaginary defender."
new_ball_190.jpg,Label.BALL,"A young boy stands in front of the bathroom sink, toothbrush in hand as he prepares for his morning brushing routine. Amidst the familiar surroundings, he holds a vibrant ball, its colors and texture a stark contrast to the mundane toiletries surrounding him. The boy's Spiderman t-shirt adds a splash of personality to this ordinary moment."
new_ball_241.jpg,Label.BALL,"A serene lake setting, where the tranquil atmosphere is disrupted by the energetic play of two dogs. One brown and white dog has its eyes fixed intently on an orange ball floating in the water, while the other, a sleek black canine, laps up the cool liquid from the shore nearby. Meanwhile, in the background, a horse and rider glide effortlessly behind them, adding to the idyllic scene unfolding before us."
new_ball_446.jpg,Label.BALL,"The sandy brown dog was running around in circles, its tail wagging excitedly as it chased after the soccer ball on the sun-kissed lawn. The ball bounced and rolled across the grass, its synthetic leather surface glinting in the bright sunlight. In the background, a few trees swayed gently in the breeze, their leaves rustling softly as the dog continued to playfully pursue its beloved ball."
new_ball_700.jpg,Label.BALL,"The little girl runs through the lush green park, her pink hat bobbing up and down as she chases after the soccer ball. She's laughing and shouting with glee as she tries to kick it through a makeshift goal made of cones set up by her father. The warm sunlight casts a golden glow over the scene, illuminating the vibrant colors of the grass and the girl's bright pink hat."
new_ball_002.jpg,Label.BALL,"A sunny afternoon in a lush green field, with a few scattered cars parked on the sidelines, awaiting their owners' return from a leisurely walk. In the center of the frame, a playful dog, its fur fluffed up with excitement, crouches low to the ground, eyes fixed intently on a flying ball as it hurtles towards it. The air is filled with the joyful sounds of barks and the soft thud of paws hitting the grass."
new_ball_425.jpg,Label.BALL,"A soccer player in a green jersey has just stolen the ball from his opponent, causing him to tumble to the ground in pursuit. The green-jerseyed player quickly gains possession and begins to sprint down the field with the ball at his feet. His teammate in the purple jersey is hot on his heels, trying to catch up and get involved in the play."
new_ball_104.jpg,Label.BALL,"The sun casts a warm glow over a lush green lawn as a happy dog, its tail wagging excitedly, chases after a tennis ball that has been thrown by its owner. The ball bounces and rolls through the tall grass, leading the energetic canine on a merry chase. As it catches up to the ball, the dog proudly trots back to its owner with the prize clutched tightly in its jaws."
new_ball_682.jpg,Label.BALL,"The sun beats down on the lush green grass of the park as two energetic dogs, one black and one white, chase after a vibrant blue soccer ball. The sound of their joyful barks fills the air as they playfully jostle for position, each determined to be the first to reach the ball. In the background, a few scattered trees provide shade from the sun, their leaves rustling gently in the breeze."
new_ball_269.jpg,Label.BALL,"A playful brown dog, its fur mottled with sand, paws at the ground as it searches for its favorite ball, which lies partially buried in the warm beige sand. The dog's tail wags excitedly as it sniffs and digs around the spot where it thinks the ball is hidden. A few feet away, a patch of sunlight casts a gentle glow on the beach, illuminating the scattered grains of sand and the happy canine."
new_ball_003.jpg,Label.BALL,"A playful black and white dog is seen in mid-air, its paws splayed out to the sides as it leaps up to catch a small white tennis ball that has been thrown into its path by a unseen hand. The scene is set against a bright green lawn, with tall trees providing shade and a few scattered leaves blowing about in the breeze. The dog's joyful barks can be heard echoing through the air as it tries to snag the elusive ball."
new_ball_076.jpg,Label.BALL,"A lively dog, its fur fluffed up to keep warm in the chilly winter air, enthusiastically chases after a brown soccer ball as it bounces across the pristine snowy ground. The snow-covered landscape stretches out behind the dog, with frozen trees looming in the distance, their branches etched against the pale blue sky like delicate pen and ink drawings. As the dog bounds through the snow, its joyful yips echo through the stillness of the winter day, accompanied by the soft thud of the ball as it hits the ground."
new_ball_341.jpg,Label.BALL,"A basketball player, clad in an orange uniform, has momentarily turned to glance over their shoulder, giving away their defensive strategy to their teammate, who is positioned behind them, eyes fixed intently on the action unfolding on the court.

The ball bounces erratically across the hardwood floor as a nearby opponent tries to anticipate and capitalize on the brief lapse in focus from the player. The gym's bright lights cast a sharp glare on the polished surface, illuminating the fleeting moment of hesitation."
new_ball_714.jpg,Label.BALL,"A playful little dog is seen chasing after a vibrant red ball as it bounces across a lush green grassy field on a sunny day, its tail wagging excitedly in anticipation of catching the elusive ball. The dog's owner is visible in the background, smiling and cheering them on as they try to corral the errant ball. The atmosphere is one of carefree joy, with the warm sunlight casting long shadows across the grassy landscape."
new_ball_066.jpg,Label.BALL,"The dog's joyful leap was in pursuit of a red rubber ball, which had rolled across the lush green lawn, enticing the playful canine to give chase. As the dog hovered above the grass, its paws splayed out to the sides, it managed to snatch the ball mid-air, momentarily suspending itself in mid-leap before landing with a joyful thud on the soft blades of grass. The sun-drenched afternoon air was filled with the happy sounds of the dog's excited barks and the rustling of leaves as it proudly carried its prize back into play."
new_ball_273.jpg,Label.BALL,"A football player in a blue and yellow uniform is tackling another player in a white and gold uniform, both of whom are struggling to maintain possession of the ball as they crash to the ground in a cloud of dust and grass.

The players' movements are intense and urgent, their faces twisted with effort as they fight for control of the orb. The ball itself is partially hidden from view beneath them, its smooth surface glistening faintly in the sunlight that filters down through the stadium's open roof."
new_ball_214.jpg,Label.BALL,"The tennis player, her ponytail tied back in a neat bun, crouched low over the baseline, her eyes fixed intently on the approaching ball as she prepared to unleash a powerful forehand. The bright red of her shirt stood out against the lush green grass of the court, and her racket gleamed with a faint sheen of sweat. In this moment, all was quiet except for the soft thud of the ball flying through the air towards its target."
new_ball_692.jpg,Label.BALL,"A young girl sits cross-legged on a bright blue mat, surrounded by a vibrant heap of balls in various colors, each one slightly different from the last. Her eyes shine with excitement as she reaches out to grab another ball and add it to her growing collection. The sun shines down on the scene, casting a warm glow over the happy child and her treasure trove of colorful orbs."
new_ball_094.jpg,Label.BALL,"A young boy giggles uncontrollably as he rolls around in a giant pit filled with dozens of vibrant blue exercise balls, their bouncy texture making every step feel like a trampoline under his feet. His bright smile and flushed cheeks showcase the joy of playing in this unusual playground feature. Nearby, a patient adult or caregiver offers a reassuring hand to help him out when he's ready to stop bouncing around."
new_ball_674.jpg,Label.BALL,"A young boy, likely in his early teens, kicks a soccer ball high up into the air with great enthusiasm. His ponytail bounces behind him as he runs forward to catch the descending ball. The sun casts a warm glow on the lush green grass of the backyard where the scene is unfolding."
new_ball_136.jpg,Label.BALL,"At a lively high school football game, a boy cheerleader enthusiastically balances on one knee while cradling a large, inflated ""Spirit Ball"" in his other arm, as he attempts to entice the crowd with some energetic cheers and dance moves. A girl cheerleader, also dressed in matching uniform, sits playfully on his knee, giggling and leaning against him for support. As the boy cheerleader tosses the Spirit Ball into the air, the girl reaches out to catch it, momentarily breaking into a grin as she holds it securely."
new_ball_079.jpg,Label.BALL,"A playful golden retriever stands on a sun-drenched beach, its tongue lolling out of its mouth as it gazes eagerly at a bright yellow ball lying a few feet away in the sand. The dog's tail wags excitedly, betraying its anticipation to pounce and catch the ball mid-air. As the waves gently lap at the shore behind it, the dog takes a moment to position itself for the perfect catch."
new_ball_258.jpg,Label.BALL,"The two athletes, clad in sleek beach volleyball uniforms, leap for the high-flying spike as it hurtles towards the net, their eyes locked intently on the ball as they prepare to block the attack. The crowd cheers from behind them, but their focus is solely on the moment at hand. Amidst the energetic atmosphere of the game, a glint of gold catches the eye in the background - the iconic Beijing Olympics logo proudly emblazoned on the netting above the court."
new_ball_721.jpg,Label.BALL,"A playful brown dog, its fur fluffed up with excitement, bounds through the yard in hot pursuit of a well-worn tennis ball that's been tattered by repeated tosses and catches. The sun casts a warm glow over the scene as the dog weaves between tall blades of grass, its tail wagging wildly as it gains on its quarry. In the background, a few colorful flowers bloom amidst the lush greenery, adding a pop of vibrancy to the otherwise energetic pursuit."
new_ball_067.jpg,Label.BALL,"A lively black and white dog, its fur fluffed up with excitement, is bounding across the lush green lawn, a rubber ball clutched tightly in its jaws as it tries to catch it mid-air. The sun casts dappled shadows on the grass beneath, adding warmth and depth to the scene of joyful playfulness. In the background, a few scattered trees sway gently in the breeze, their leaves rustling softly amidst the commotion."
new_ball_555.jpg,Label.BALL,"In the well-lit gymnasium, a group of athletic men stand facing each other, their sweat-drenched faces set in determined expressions as they prepare to engage in a high-intensity basketball drill. At the center of the action lies a bouncy, yellowed ball, its leather surface bearing the scars of countless intense matches and practices. The air is thick with tension, the only sound the soft hum of the gym's ventilation system and the occasional bounce of the ball on the polished floor."
new_ball_623.jpg,Label.BALL,"The sun beats down on the sandy beach as three excited dogs, their fur fluffed up with excitement, chase after a colorful beach ball that has been tossed into the calm waters of the ocean. The ball bounces and splashes in the shallow water, sending droplets flying in all directions as the dogs yelp and leap in pursuit. In the background, a few beach umbrellas stand sentinel against the bright blue sky, while seagulls wheel overhead, watching the commotion with curious eyes."
new_ball_199.jpg,Label.BALL,"The cricketer, who had been fielding at cover point, stumbled while chasing after a fast-moving shot and tumbled to the ground in a heap. The ball, which had initially seemed destined for six, came to rest beside him, its leather creaking softly as it hit the grass. The wicketkeeper, anticipating a possible overthrow, began to scramble out of his stance, eye fixed intently on the prostrate player and the stranded ball."
new_ball_141.jpg,Label.BALL,"The football player, number 12 for the Sooners, clutched the ball tightly to his chest as he tried to break through the opposing team's defensive line in the crucial fourth quarter of the game. The crowd held its collective breath as the action unfolded on the field, with both teams fighting for every inch of ground. In a flash of movement, the player dodged a would-be tackler and gained precious yards downfield, his eyes fixed intently on the end zone ahead."
new_ball_305.jpg,Label.BALL,"In the midst of a heated basketball game, players in matching yellow and green jerseys scramble to get a grip on the ball as it bounces off the hardwood floor. The referee stands nearby, blowing their whistle to regain order amidst the chaos. Meanwhile, teammates position themselves strategically around the court, waiting for an opportunity to steal possession."
new_ball_578.jpg,Label.BALL,"The girl, wearing her black shirt and hot pink pants, stands confidently at the tennis court's baseline, her racket held tightly in her hand as she prepares to hit the incoming serve. The ball, a bright yellow orb, hovers above the net, suspended in mid-air for a fraction of a second before it will be struck by the girl's swift swing. The sun beats down on the court, casting a warm glow over the scene as the crowd watches with bated breath."
new_ball_482.jpg,Label.BALL,"The sun beats down on the cracked sidewalk as a group of boys laugh and shout, their feet moving in unison as they chase after a worn leather soccer ball. One boy jumps high into the air, attempting to head the ball away from an opponent's outstretched foot. The scene is one of joyful chaos, with the ball bouncing erratically across the pavement."
new_ball_618.jpg,Label.BALL,"The sun beats down on the pool deck as two friends engage in a spirited game of volleyball, their laughter carrying across the water. The person standing at the net expertly spikes the ball back to her opponent, who attempts to return it with a swift smash. As they leap and dive, their movements are mirrored by the ripples on the surface of the pool below."
new_ball_364.jpg,Label.BALL,"A happy golden retriever is frolicking in the calm waters of a serene lake on a warm summer day, its tail wagging playfully as it effortlessly swims with an orange ball clutched tightly in its jaws. The sunlight reflects off the ripples in the water, casting a gentle glow across the tranquil scene. As the dog paddles along, the ball bobs up and down just below the surface, adding to the joyful atmosphere of this idyllic lakeside moment."
new_ball_661.jpg,Label.BALL,"In the crisp winter landscape, two energetic dogs are frolicking in the snow, their paws barely touching the ground as they chase after a bright yellow tennis ball. The ball bounces and rolls across the pristine white surface, its vibrant color standing out against the monochrome backdrop of snow and fur. As the dogs leap and play, their joyful yips fill the air, accompanied by the soft crunch of snow beneath their paws."
new_ball_533.jpg,Label.BALL,"The sun beats down on the sandy beach volleyball court, casting a warm glow over the players in action. A female athlete, dressed in a sleek bikini, springs into the air, her long hair flying behind her as she spikes the ball downwards with all her might, aiming for the net guarded by her opponent. The ball soars through the air, its trajectory unpredictable, as the crowd watches with bated breath."
new_ball_185.jpg,Label.BALL,"The sun beats down on the lush green outfield grass as a young baseball player, clad in a vibrant green and yellow jersey with white lettering, takes off into a joyful leap to catch the incoming ball. His friends cheer him on from behind home plate, their faces filled with excitement and anticipation. The air is thick with the smell of freshly cut grass and the sound of crackling bats fills the warm summer air as the game continues to unfold."
new_ball_202.jpg,Label.BALL,"The basketball player lies sprawled on the court, clutching at their injured knee as they struggle to get back up. Meanwhile, another player bursts into view from off-camera, desperate to regain possession of the ball which has been momentarily abandoned in the chaos. The action unfolds with a flurry of movement and tension, the ball hovering precariously out of frame."
new_ball_585.jpg,Label.BALL,"In the sun-drenched park, two energetic dogs - one a sleek black retriever and the other a robust brown labrador - chased each other with unbridled excitement, their joyful yips filling the air as they careened across the lush green lawn. At the center of their play, a bright yellow foam soccer ball bounced and rolled, its inflated surface catching the sunlight and sending shafts of light dancing through the blades of grass. As the dogs leapt and bounded after it, the ball seemed to lead them on an impromptu game of tag, its carefree trajectory weaving in and out of the tall stalks of the grassy terrain."
new_ball_242.jpg,Label.BALL,"A young black dog, its fur matted with dirt, enthusiastically bites down on a worn soccer ball in the middle of a makeshift backyard pitch. The grassy terrain surrounding them is uneven and overgrown, with scattered leaves and twigs scattered about from recent yard work. In the background, a dilapidated fence provides a glimpse into the surrounding neighborhood."
new_ball_044.jpg,Label.BALL,"A young boy, clad in his navy blue school uniform, runs across the lush green field with a carefree smile on his face, his blonde hair blowing gently in the breeze. As he kicks the soccer ball, it flies through the air, heading straight for the goal posts in the distance. The sun casts a warm glow over the serene scene, highlighting the vibrant colors of the field and the boy's joyful expression."
new_ball_048.jpg,Label.BALL,"A young boy, likely around two years old, runs excitedly in his backyard, laughing as he chases after a bright blue ball that has just bounced off the sidewalk. The sun casts a warm glow over the scene, illuminating the vibrant green grass and causing the boy's blonde curls to shine with a soft sheen. Nearby, his mother watches with a smile, her eyes following the movement of the ball as it careens through the yard."
new_ball_691.jpg,Label.BALL,"A brown dog playfully gnaws on a worn orange rubber ball, its teeth gently grasping its textured surface as it bounces lazily across a lush green lawn. The sun casts a warm glow over the scene, illuminating the dog's joyful expression and the ball's vibrant color. In the background, a few scattered leaves from nearby trees add a touch of natural beauty to the idyllic setting."
new_ball_709.jpg,Label.BALL,"In a lush green park, two energetic brown dogs, their tails wagging excitedly, chase after a bright red rubber ball as it bounces across the grassy terrain. The warm sunlight casts a pleasant glow on the scene, illuminating the joyful moment of play between the canine friends and their beloved ball. A gentle breeze rustles through the surrounding trees, adding to the idyllic atmosphere of carefree fun."
new_ball_350.jpg,Label.BALL,"The female lawn hockey player, dressed in her team's uniform, stood tall on the field as she prepared to strike the ball with her stick. The sun cast a warm glow over the scene, illuminating the lush green grass and the vibrant colors of the player's jersey. The ball, a white orb with a subtle texture, seemed to leap off the ground as it was hit, heading in a straight trajectory towards the goalpost."
new_ball_370.jpg,Label.BALL,"The fencing class takes place on a basketball court, where participants clad in protective gear engage in a high-intensity bout of foil fencing. A lone ball bounces listlessly around the periphery of the action, having been forgotten amidst the intensity of the match. In the background, a scoreboard and a few scattered water bottles add to the makeshift atmosphere of the unusual venue."
new_ball_300.jpg,Label.BALL,"A group of friends gathered at the outdoor basketball court, laughing and cheering each other on as they sprinted down the court in a heated game of pickup hoops. One player jumped high into the air, attempting to block their opponent's shot while another teammate chased after the ball, which was flying through the air in a perfect arc. The crowd of spectators watched with excitement, eager to see who would score next."
new_ball_254.jpg,Label.BALL,"A playful brown dog runs around in the backyard, chasing after a ball as it bounces across the lawn near a tall wooden fence. The dog's tail wags excitedly as he tries to catch the ball in mid-air, his jaws snapping shut just inches from its furry surface. In the background, the afternoon sun casts a warm glow over the scene, illuminating the lush green grass and the happy pup at play."
new_ball_648.jpg,Label.BALL,"The four rugby players were sprawled across the grass, their arms tangled as they struggled to regain possession of the ball after a chaotic tackle. One player's eyes were fixed intently on the loose ball, his hand reaching out in a desperate bid to scoop it up before an opposing teammate could recover. Meanwhile, the two standing players looked on anxiously, aware that every second counted if their side was to salvage something from the scrum."
new_ball_678.jpg,Label.BALL,"In the warm sunlight of an afternoon park, two energetic dogs are engaged in a lively game of catch with their owner's tossed ball flying through the air. As one dog leaps up to intercept the ball, its companion picks up speed, racing towards the action with its tail wagging excitedly. The joyful scene is filled with the happy barks and playful yips of the two dogs as they chase after the ball in a game of energetic tag."
new_ball_723.jpg,Label.BALL,"The girl, who was laughing, carefully tossed the ball to her friend in the pool, while the woman, splashing water everywhere, tried to catch it mid-air. The sun beat down on their faces as they played together, creating a warm and carefree atmosphere. Nearby, other children were swimming laps or floating on inflatable rafts, adding to the lively scene."
new_ball_236.jpg,Label.BALL,"A young black dog, its fur fluffed up in excitement, lies sprawled out on the lush green grass next to a small, brown leather ball that has come to rest beside it. The dog's tail thumps gently against the ground as it gazes intently at the ball, its ears perked up as if willing it to roll closer. A faint patch of sunlight catches the ball, illuminating the subtle texture of the leather and casting a warm glow over the tranquil scene."
new_ball_593.jpg,Label.BALL,"A young boy with glasses perched on the end of his nose stands knee-deep in the warm sand, gazing up at the sky as he expertly tosses a bright yellow ball into the air. The sun casts a gentle glow over the serene scene, illuminating the subtle grains of sand that dance around the boy's feet. For a brief moment, time seems to stand still as the ball soars through its arc, suspended in mid-air like a fleeting promise of joy and carefree abandon."
new_ball_409.jpg,Label.BALL,"A group of boys in their school team's jerseys are engaged in a heated soccer match on a muddy wet field, kicking and dodging each other as they fight for possession of the ball. The muddy terrain makes every step slippery, but the players don't seem to mind, too focused on winning the game. One player takes a shot at goal, unleashing the ball towards the opponent's net with all his might."
new_ball_558.jpg,Label.BALL,"A playful black dog runs around in the enclosed yard, its tail wagging excitedly as it chases after a small brown baseball bouncing across the grass. The sun casts a warm glow over the scene, illuminating the intricate details of the fence and the surrounding foliage. In the midst of the joyful playtime, the dog's owner observes with a smile, perhaps encouraging the energetic pup to continue its playful antics."
new_ball_459.jpg,Label.BALL,"The boy's eyes were fixed intently on the ball as he spun it around his finger, the American flag pattern on his shirt fluttering in the breeze. He was playing a game of catch with himself, taking slow arcs to dribble the basketball across the blacktop. Sweat glistened on his forehead as he moved effortlessly through the drill."
new_ball_312.jpg,Label.BALL,"The sun beats down on the lush green football field as the star running back, number 12, dashes forward with the ball tightly gripped in his hands. Behind him, the opposing team's defenders give chase, their faces contorted in determination and frustration, desperate to tackle their opponent before he reaches the end zone. The sound of pads crashing and sneakers scuffling against turf fills the air as the thrilling football match unfolds."
new_ball_675.jpg,Label.BALL,"A playful brown dog, its fur fluffed up from the sea spray, enthusiastically retrieves a worn leather ball as it tumbles towards the water's edge on the rough, green beach. The dog's owner, standing at a distance with binoculars, watches with a smile as their loyal companion executes the perfect catch. In the background, the sound of waves crashing against the shore and seagulls crying out create a lively atmosphere on this sunny day by the sea."
new_ball_086.jpg,Label.BALL,"A group of adults, clad in thick winter jackets and hats, engage in a playful game on a chilly day. They take turns swinging brooms at a small yellow ball that bounces across the ground, their laughter and shouts carrying through the crisp air. Nearby, a black dog watches with interest, its tail wagging gently as it observes the commotion."
new_ball_634.jpg,Label.BALL,"Two males in athletic gear are engaged in a heated game of field hockey, their sticks clashing as they chase after a speeding ball. One player, dressed in blue, makes a bold move to intercept the ball, but his opponent, clad in gold, skillfully blocks the shot and sends the ball flying back towards the goal. The players' faces are contorted with effort, their muscles straining as they battle for control of the ball."
new_ball_042.jpg,Label.BALL,"In this lively scene, two playful dogs have stopped their energetic game of chase to engage in a more curious activity - sniffing each other out. Meanwhile, one of the dogs has wandered over to a nearby ball that had been left on the ground, and is now attempting to pick it up in its mouth, momentarily forgetting about the interesting smell wafting from its companion's rear end. As they continue to explore each other, the ball rolls away, enticing the dog to give chase once again."
new_ball_712.jpg,Label.BALL,"In the warm sunlight of a spring afternoon, a playful dog runs around the lush green lawn, its tail wagging enthusiastically as it chases after a bright red ball. The ball bounces and rolls across the grass, leading the dog on an exciting game of catch. With each leap, the dog seems to jump higher than before, its paws barely touching the ground as it gives chase."
